Type,Condition,Primary_secondary_type,Code,MedCode,Term,Description,Source
Disease,Diabetes,Primary care,7276,11599,Pan retinal photocoagulation for diabetes,Diagnosis of diabetic ophthalmic complications,https://portal.caliberresearch.org/disease-or-syndrome
Disease,Diabetes,Secondary care,44054006,,Diabetes mellitus type 2 (disorder),Type 2 diabetes,https://portal.caliberresearch.org/disease-or-syndrome
Disease,Diabetes,Secondary care,49455004,,Polyneuropathy co-occurrent and due to diabetes mellitus (disorder),,https://portal.caliberresearch.org/disease-or-syndrome
Disease,Diabetes,Secondary care,230572002,,Neuropathy co-occurrent and due to diabetes mellitus (disorder),,https://portal.caliberresearch.org/disease-or-syndrome
Disease,Diabetes,Secondary care,237599002,,Insulin treated type 2 diabetes mellitus (disorder),Type 2 diabetes,https://portal.caliberresearch.org/disease-or-syndrome
Disease,Diabetes,Primary care,13AB.00,,Diabetic lipid lowering diet,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,13AC.00,,Diabetic weight reducing diet,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,13B1.00,,Diabetic diet,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,14F4.00,,H/O: Admission in last year for diabetes foot problem,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,250 A,,SUGAR DIABETES,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,250 AA,,NIDDM (NON-INSULIN DEPENDENT DIABETES),NIDDM (NON-INSULIN DEPENDENT DIABETES),https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Diabetes,Primary care,250 AB,,ABSCESS DIABETIC,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,250 AD,,DIABETES MELLITUS INSULIN DEPENDANT,DIABETES MELLITUS INSULIN DEPENDANT,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Diabetes,Primary care,250 AK,,MATURITY ONSET DIABETES MELLITUS INSULIN,MATURITY ONSET DIABETES MELLITUS INSULIN,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Diabetes,Primary care,250 AL,,MATURITY ONSET DIABETES(MELLITUS) NON-INSULIN DEPENDANT,MATURITY ONSET DIABETES(MELLITUS) NON-INSULIN DEPENDANT,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Diabetes,Primary care,250 AM,,MATURITY ONSET DIABETES (MELLITUS),MATURITY ONSET DIABETES (MELLITUS),https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Diabetes,Primary care,250 AN,,DIABETES,DIABETES,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Diabetes,Primary care,250 AT,,DIABETIC AMYOTROPHY,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,250 C,,RETINOPATHY DIABETIC,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,250 CT,,DIABETIC CATARACT,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,250 DC,,DIETARY CONTROL DIABETES,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,250 DR,,DIABETIC DIARRHOEA,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,250 E,,HYPOGLYCAEMIA IN DIABETES MELLITUS,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,250 ED,,HYPOGLYCAEMICS ORAL DIABETES,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,250 F,,NEUROPATHY DIABETIC,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,250 G,,ULCER DIABETIC,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,250 GA,,GANGRENE DIABETIC,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,250 H,,COMA DIABETIC,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,250 HC,,HYPOGLYCAEMIC COMA DIABETIC,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,250 HP,,PRECOMA DIABETIC,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,250 JA,,DIABETIC ACIDOSIS,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,250 JE,,DIABETIC ACETONAEMIA,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,250 JK,,KETOACIDOSIS DIABETIC,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,250 JL,,KETOSIS DIABETIC,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,250 K,,DIABETES CHEMICAL (ABNORMAL BIOCHEMISTRY,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,250 LG,,DIABETIC GLOMERULOSCLEROSIS,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,250 M,,CHARCOT'S DIABETIC ARTHROPATHY,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,250 N,,DIABETIC NEPHROPATHY,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,250 NH,,HYPEROSMOLAR DIABETIC STATE,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,250 NT,,UNSTABLE DIABETIC,UNSTABLE DIABETIC,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Diabetes,Primary care,250 PG,,DIABETES PREGNANCY,DIABETES PREGNANCY,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Diabetes,Primary care,250 PR,,PRURITUS DIABETIC,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,2500W,,DIABETIC CLINIC,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,2BBF.00,,Retinal abnormality - diabetes related,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,2BBk.00,47328,O/E - right eye stable treated prolif diabetic retinopathy,Diagnosis of diabetic ophthalmic complications,https://portal.caliberresearch.org/disease-or-syndrome
Disease,Diabetes,Primary care,2BBl.00,52041,O/E - left eye stable treated prolif diabetic retinopathy,Diagnosis of diabetic ophthalmic complications,https://portal.caliberresearch.org/disease-or-syndrome
Disease,Diabetes,Primary care,2BBL.00,9835,O/E - diabetic maculopathy present both eyes,Diagnosis of diabetic ophthalmic complications,https://portal.caliberresearch.org/disease-or-syndrome
Disease,Diabetes,Primary care,2BBM.00,47144,O/E - diabetic maculopathy absent both eyes,Diagnosis of diabetic ophthalmic complications,https://portal.caliberresearch.org/disease-or-syndrome
Disease,Diabetes,Primary care,2BBo.00,52630,O/E - sight threatening diabetic retinopathy,Diagnosis of diabetic ophthalmic complications,https://portal.caliberresearch.org/disease-or-syndrome
Disease,Diabetes,Primary care,2BBP.00,11433,O/E - right eye background diabetic retinopathy,Diagnosis of diabetic ophthalmic complications,https://portal.caliberresearch.org/disease-or-syndrome
Disease,Diabetes,Primary care,2BBQ.00,11129,O/E - left eye background diabetic retinopathy,Diagnosis of diabetic ophthalmic complications,https://portal.caliberresearch.org/disease-or-syndrome
Disease,Diabetes,Primary care,2BBr.00,101881,Impaired vision due to diabetic retinopathy,Diagnosis of diabetic ophthalmic complications,https://portal.caliberresearch.org/disease-or-syndrome
Disease,Diabetes,Primary care,2BBR.00,13099,O/E - right eye preproliferative diabetic retinopathy,Diagnosis of diabetic ophthalmic complications,https://portal.caliberresearch.org/disease-or-syndrome
Disease,Diabetes,Primary care,2BBS.00,13103,O/E - left eye preproliferative diabetic retinopathy,Diagnosis of diabetic ophthalmic complications,https://portal.caliberresearch.org/disease-or-syndrome
Disease,Diabetes,Primary care,2BBT.00,13097,O/E - right eye proliferative diabetic retinopathy,Diagnosis of diabetic ophthalmic complications,https://portal.caliberresearch.org/disease-or-syndrome
Disease,Diabetes,Primary care,2BBV.00,13101,O/E - left eye proliferative diabetic retinopathy,Diagnosis of diabetic ophthalmic complications,https://portal.caliberresearch.org/disease-or-syndrome
Disease,Diabetes,Primary care,2BBW.00,13102,O/E - right eye diabetic maculopathy,Diagnosis of diabetic ophthalmic complications,https://portal.caliberresearch.org/disease-or-syndrome
Disease,Diabetes,Primary care,2BBX.00,13108,O/E - left eye diabetic maculopathy,Diagnosis of diabetic ophthalmic complications,https://portal.caliberresearch.org/disease-or-syndrome
Disease,Diabetes,Primary care,2G51000,,Foot abnormality - diabetes related,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,2G5A.00,,O/E - Right diabetic foot at risk,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,2G5B.00,,O/E - Left diabetic foot at risk,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,2G5C.00,,Foot abnormality - diabetes related,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,2G5E.00,,O/E - Right diabetic foot at low risk,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,2G5F.00,,O/E - Right diabetic foot at moderate risk,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,2G5G.00,,O/E - Right diabetic foot at high risk,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,2G5H.00,,O/E - Right diabetic foot - ulcerated,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,2G5I.00,,O/E - Left diabetic foot at low risk,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,2G5J.00,,O/E - Left diabetic foot at moderate risk,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,2G5K.00,,O/E - Left diabetic foot at high risk,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,2G5L.00,,O/E - Left diabetic foot - ulcerated,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,2G5V.00,,O/E - right chronic diabetic foot ulcer,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,2G5W.00,,O/E - left chronic diabetic foot ulcer,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,42c..00,,HbA1 - diabetic control,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,42c0.00,,HbA1 < 7% - good control,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,42c1.00,,HbA1 7 - 10% - borderline control,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,42c2.00,,HbA1 > 10% - bad control,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,42W..00,,Hb. A1C - diabetic control,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,42W1.00,,Hb. A1C < 7% - good control,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,42W2.00,,Hb. A1C 7-10% - borderline,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,42W3.00,,Hb. A1C > 10% - bad control,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,42WZ.00,,Hb. A1C - diabetic control NOS,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,66A..00,,Diabetic monitoring,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,66A1.00,,Initial diabetic assessment,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,66A2.00,,Follow-up diabetic assessment,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,66A3.00,,Diabetic on diet only,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,66A3.00,,Diabetic on diet only,Diabetic on diet only,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Diabetes,Primary care,66A4.00,,Diabetic on oral treatment,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,66A4.00,,Diabetic on oral treatment,Diabetic on oral treatment,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Diabetes,Primary care,66A5.00,,Diabetic on insulin,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,66A5.00,,Diabetic on insulin,Diabetic on insulin,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Diabetes,Primary care,66A6.00,,Last hypo. attack,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,66A7.00,,Frequency of hypo. attacks,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,66A7000,,Frequency of hospital treated hypoglycaemia,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,66A7100,,Frequency of GP or paramedic treated hypoglycaemia,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,66A8.00,,Has seen dietician - diabetes,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,66A9.00,,Understands diet - diabetes,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,66Aa.00,,Diabetic diet - poor compliance,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,66AA.11,,Injection sites - diabetic,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,66Ab.00,,Diabetic foot examination,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,66Ac.00,,Diabetic peripheral neuropathy screening,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,66Ad.00,,Hypoglycaemic attack requiring 3rd party assistance,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,66AD.00,,Fundoscopy - diabetic check,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,66AG.00,,Diabetic drug side effects,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,66Ah.00,,Insulin needles changed for each injection,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,66AH.00,,Diabetic treatment changed,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,66AH000,,Conversion to insulin,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,66Ai.00,,Diabetic 6 month review,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,66AI.00,,Diabetic - good control,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,66AI.00,,Diabetic - good control,Diabetic - good control,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Diabetes,Primary care,66Aj.00,,Insulin needles changed less than once a day,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,66AJ.00,,Diabetic - poor control,Diabetes,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/22/
Disease,Diabetes,Primary care,66AJ.00,,Diabetic - poor control,Diabetic - poor control,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
