Type,Condition,Primary_secondary_type,Code,MedCode,Term,Description,Source
Ethnicity,,Primary care,9S10.00,,White British,White British,https://portal.caliberresearch.org/disease-or-syndrome
Ethnicity,,Primary care,9S13.00,,White Scottish,White British,https://portal.caliberresearch.org/disease-or-syndrome
Ethnicity,,Primary care,9S14.00,,Other white British ethnic group,White British,https://portal.caliberresearch.org/disease-or-syndrome
Ethnicity,,Primary care,9i00.00,,White British - ethnic category 2001 census,White British,https://portal.caliberresearch.org/disease-or-syndrome
Ethnicity,,Primary care,9i20.00,,English - ethnic category 2001 census,White British,https://portal.caliberresearch.org/disease-or-syndrome
Ethnicity,,Primary care,9i21.00,,Scottish - ethnic category 2001 census,White British,https://portal.caliberresearch.org/disease-or-syndrome
Ethnicity,,Primary care,9i22.00,,Welsh - ethnic category 2001 census,White British,https://portal.caliberresearch.org/disease-or-syndrome
Ethnicity,,Primary care,9i23.00,,Cornish - ethnic category 2001 census,White British,https://portal.caliberresearch.org/disease-or-syndrome
Ethnicity,,Primary care,9S11.00,,White Irish,White Irish,https://portal.caliberresearch.org/disease-or-syndrome
Ethnicity,,Primary care,9SA9.00,,Irish (NMO),White Irish,https://portal.caliberresearch.org/disease-or-syndrome
Ethnicity,,Primary care,9SI..00,,Irish traveller,White Irish,https://portal.caliberresearch.org/disease-or-syndrome
Ethnicity,,Primary care,9i1..00,,Irish - ethnic category 2001 census,White Irish,https://portal.caliberresearch.org/disease-or-syndrome
Ethnicity,,Primary care,9i10.00,,White Irish - ethnic category 2001 census,White Irish,https://portal.caliberresearch.org/disease-or-syndrome
Ethnicity,,Primary care,9i24.00,,Northern Irish - ethnic category 2001 census,White Irish,https://portal.caliberresearch.org/disease-or-syndrome
Ethnicity,,Primary care,9i2C.00,,Irish Traveller - ethnic category 2001 census,White Irish,https://portal.caliberresearch.org/disease-or-syndrome
Ethnicity,,Primary care,9S12.00,,Other white ethnic group,White Other,https://portal.caliberresearch.org/disease-or-syndrome
Ethnicity,,Primary care,9SAA.00,,Greek/Greek Cypriot (NMO),White Other,https://portal.caliberresearch.org/disease-or-syndrome
Ethnicity,,Primary care,9SAA.11,,Greek (NMO),White Other,https://portal.caliberresearch.org/disease-or-syndrome
Ethnicity,,Primary care,9SAA.12,,Greek Cypriot (NMO),White Other,https://portal.caliberresearch.org/disease-or-syndrome
Ethnicity,,Primary care,9SAB.00,,Turkish/Turkish Cypriot (NMO),White Other,https://portal.caliberresearch.org/disease-or-syndrome
Ethnicity,,Primary care,9SAB.11,,Turkish (NMO),White Other,https://portal.caliberresearch.org/disease-or-syndrome
Ethnicity,,Primary care,9SAB.12,,Turkish Cypriot (NMO),White Other,https://portal.caliberresearch.org/disease-or-syndrome
Ethnicity,,Primary care,9SAC.00,,Other European (NMO),White Other,https://portal.caliberresearch.org/disease-or-syndrome
Ethnicity,,Primary care,9T1..00,,New Zealand ethnic groups,White Other,https://portal.caliberresearch.org/disease-or-syndrome
Ethnicity,,Primary care,9T1Y.00,,Other New Zealand ethnic group,White Other,https://portal.caliberresearch.org/disease-or-syndrome
Ethnicity,,Primary care,9T1Z.00,,New Zealand ethnic group NOS,White Other,https://portal.caliberresearch.org/disease-or-syndrome
Ethnicity,,Primary care,9i2..00,,Other White background - ethnic category 2001 census,White Other,https://portal.caliberresearch.org/disease-or-syndrome
Ethnicity,,Primary care,9i26.00,,Cypriot (part not stated) - ethnic category 2001 census,White Other,https://portal.caliberresearch.org/disease-or-syndrome
Ethnicity,,Primary care,9i27.00,,Greek - ethnic category 2001 census,White Other,https://portal.caliberresearch.org/disease-or-syndrome
Ethnicity,,Primary care,9i28.00,,Greek Cypriot - ethnic category 2001 census,White Other,https://portal.caliberresearch.org/disease-or-syndrome
Ethnicity,,Primary care,9i29.00,,Turkish - ethnic category 2001 census,White Other,https://portal.caliberresearch.org/disease-or-syndrome
