Type,Condition,Primary_secondary_type,Code,MedCode,Term,Description,Source
Disease,Hypertension,Primary care,401,,BENIGN HYPERTENSION,Hypertension,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Hypertension,Primary care,402,,HYPERTENSIVE HEART DISEASE,Hypertension,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Hypertension,Primary care,403,,RENAL HYPERTENSION,Hypertension,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Hypertension,Primary care,4000,,MALIGNANT HYPERTENSION,Hypertension,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Hypertension,Primary care,4003,,HYPERTENSIVE NEPHROPATHY,Hypertension,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Hypertension,Primary care,4120,,INSUFFICIENCY CORONARY HYPERTENSIVE,Hypertension,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Hypertension,Primary care,4130,,ANGINA PECTORIS WITH HYPERTENSION,Hypertension,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Hypertension,Primary care,4140,,ASYMPTOMATIC HYPERTENSIVE ISCHAEMIC HEAR,Hypertension,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Hypertension,Primary care,4300,,SUBARACHNOID HAEMORRHAGE WITH HYPERTENSI,Hypertension,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Hypertension,Primary care,4310,,HAEMORRHAGE INTRACEREBRAL WITH HYPERTENS,Hypertension,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Hypertension,Primary care,4330,,CEREBRAL THROMBOSIS WITH HYPERTENSION,Hypertension,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Hypertension,Primary care,4340,,EMBOLISM CEREBRAL WITH HYPERTENSION,Hypertension,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Hypertension,Primary care,4370,,CEREBRAL ISCHAEMIA HYPERTENSIVE,Hypertension,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Hypertension,Primary care,4380,,CEREBROVASCULAR DISEASE WITH HYPERTENSIO,Hypertension,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Hypertension,Primary care,6146200,32976,Hypertension induced by oral contraceptive pill,Hypertension,https://portal.caliberresearch.org/disease-or-syndrome
Disease,Hypertension,Secondary care,59621000,,Essential hypertension (disorder),Hypertension,https://portal.caliberresearch.org/disease-or-syndrome
Disease,Hypertension,Primary care,14A2.00,2666,H/O: hypertension,Hypertension,https://portal.caliberresearch.org/disease-or-syndrome
Disease,Hypertension,Primary care,3053HT,,NEUROGENIC HYPERTENSION (SECONDARY),Hypertension,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Hypertension,Primary care,4003AA,,HYPERTENSIVE RENAL DISEASE,Hypertension,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Hypertension,Primary care,401 A,,HYPERTENSION,Hypertension,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Hypertension,Primary care,401 AC,,HYPERTENSION ACCELERATED,Hypertension,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Hypertension,Primary care,401 AR,,HYPERTENSION ARTERIOSCLEROTIC,Hypertension,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Hypertension,Primary care,401 AT,,HYPERTENSION ATHEROSCLEROTIC,Hypertension,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Hypertension,Primary care,401 B,,RETINOPATHY HYPERTENSIVE,Hypertension,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Hypertension,Primary care,401 BE,,RETINOPATHY HYPERTENSIVE EXUDATES,Hypertension,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Hypertension,Primary care,401 BH,,RETINOPATHY HYPERTENSIVE HAEMORRHAGE,Hypertension,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Hypertension,Primary care,401 BM,,HYPERTENSION ON TREATMENT,Hypertension,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Hypertension,Primary care,401 BP,,RETINOPATHY HYPERTENSIVE PAPILLOEDEMA,Hypertension,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Hypertension,Primary care,401 C,,HYPERTENSION ESSENTIAL,Hypertension,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Hypertension,Primary care,401 DC,,HYPERTENSION DIASTOLIC,Hypertension,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Hypertension,Primary care,401 E,,HYPERTENSION ARTERIAL,Hypertension,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Hypertension,Primary care,401 EL,,HYPERTENSION ARTERIAL SYSTEMIC,Hypertension,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Hypertension,Primary care,401 LB,,HYPERTENSION LABILE INTERMITTENT,Hypertension,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Hypertension,Primary care,401 NC,,HYPERTENSION NECROTIZING STAGES,Hypertension,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Hypertension,Primary care,401 P,,HYPERTENSION ARTERIAL PRIMARY,Hypertension,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Hypertension,Primary care,401 PA,,HYPERTENSION PRIMARY,Hypertension,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Hypertension,Primary care,401 R,,HYPERTENSION CRISIS,Hypertension,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Hypertension,Primary care,401 S,,HYPERTENSION SYSTOLIC,Hypertension,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Hypertension,Primary care,401 T,,THROMBOSIS HYPERTENSION,Hypertension,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Hypertension,Primary care,402 C,,HYPERTENSION CONGESTIVE HEART FAILURE,Hypertension,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Hypertension,Primary care,402 MF,,MYOCARDIAL FIBROSIS WITH HYPERTENSION,Hypertension,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Hypertension,Primary care,402 VH,,VENTRICULAR HYPERTROPHY HYPERTENSIVE,Hypertension,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Hypertension,Primary care,403 AA,,RENAL HYPERTENSIVE DISEASE,Hypertension,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Hypertension,Primary care,403 AH,,RENOVASCULAR HYPERTENSION,Hypertension,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Hypertension,Primary care,403 M,,NEPHROPATHY MALIGNANT HYPERTENSION,Hypertension,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Hypertension,Primary care,403 NC,,HYPERTENSION IMPAIRED RENAL FUNCTION,Hypertension,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Hypertension,Primary care,403 NF,,HYPERTENSION RENAL INSUFFICIENCY,Hypertension,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Hypertension,Primary care,403 NG,,HYPERTENSIVE GLOMERULOSCLEROSIS,Hypertension,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Hypertension,Primary care,403 NH,,NEPHROSCLEROSIS HYPERTENSIVE,Hypertension,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Hypertension,Primary care,4100N,,MYOCARDIAL INFARCT WITH HYPERTENSION,Hypertension,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Hypertension,Primary care,4100NA,,MYOCARDIAL INFARCT ACUTE WITH HYPERTENSI,Hypertension,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
Disease,Hypertension,Primary care,4100T,,THROMBOSIS CORONARY WITH HYPERTENSION,Hypertension,https://clinicalcodes.rss.mhs.man.ac.uk/medcodes/article/180/
